Date,Tmax_C,Tmin_C,Rainfall_mm,Division
19811018,30.48,21.68,0.01,Chattogram
19811019,29.51,21.27,0.0,Chattogram
19811020,29.52,22.01,0.0,Chattogram
19811021,29.19,21.45,0.0,Chattogram
19811022,30.03,20.48,0.0,Chattogram
19811023,30.4,20.69,0.0,Chattogram
19811024,30.03,21.58,0.0,Chattogram
19811025,30.56,21.68,0.0,Chattogram
19811026,30.72,22.06,0.0,Chattogram
19811027,30.74,21.96,0.0,Chattogram
19811028,31.09,22.46,0.0,Chattogram
19811029,30.08,21.16,0.0,Chattogram
19811030,29.69,20.16,0.0,Chattogram
19811031,29.09,18.99,0.0,Chattogram
19811101,29.55,19.97,0.0,Chattogram
19811102,29.55,20.29,0.0,Chattogram
19811103,30.25,20.02,0.0,Chattogram
19811104,30.62,21.43,0.0,Chattogram
19811105,29.83,23.1,0.15,Chattogram
19811106,30.52,23.49,0.17,Chattogram
19811107,30.33,21.7,0.01,Chattogram
19811108,29.69,19.95,0.0,Chattogram
19811109,29.22,19.67,0.0,Chattogram
19811110,28.16,21.61,0.0,Chattogram
19811111,28.27,22.51,0.0,Chattogram
19811112,28.29,20.33,0.0,Chattogram
19811113,26.72,20.22,0.0,Chattogram
19811114,28.73,21.42,0.0,Chattogram
19811115,27.59,17.8,0.0,Chattogram
19811116,28.86,17.82,0.0,Chattogram
19811117,30.16,18.94,0.0,Chattogram
19811118,29.67,20.75,0.04,Chattogram
19811119,29.08,21.53,2.83,Chattogram
19811120,29.21,21.58,12.35,Chattogram
19811121,27.22,22.29,7.56,Chattogram
19811122,29.05,21.28,5.87,Chattogram
19811123,28.36,20.07,0.5,Chattogram
19811124,27.72,18.08,0.0,Chattogram
19811125,26.46,18.71,0.0,Chattogram
19811126,26.52,17.59,0.0,Chattogram
19811127,27.86,18.49,0.0,Chattogram
19811128,26.59,18.22,0.0,Chattogram
19811129,28.18,16.82,0.0,Chattogram
19811130,27.55,18.72,0.0,Chattogram
19811201,27.02,19.23,0.0,Chattogram
19811202,27.59,19.29,0.0,Chattogram
19811203,27.76,19.01,0.0,Chattogram
19811204,26.92,17.55,0.0,Chattogram
19811205,26.86,16.33,0.0,Chattogram
19811206,26.91,17.39,0.0,Chattogram
19811207,23.81,18.94,0.0,Chattogram
19811208,24.32,18.68,0.03,Chattogram
19811209,24.72,20.08,1.15,Chattogram
19811210,26.61,20.71,3.78,Chattogram
19811211,26.03,21.2,53.33,Chattogram
19811212,26.86,19.02,2.1,Chattogram
19811213,25.55,16.55,0.04,Chattogram
19811214,23.9,14.33,0.0,Chattogram
19811215,24.47,14.85,0.0,Chattogram
19811216,23.72,15.29,0.0,Chattogram
19811217,22.53,11.92,0.0,Chattogram
19811218,22.88,12.83,0.0,Chattogram
19811219,23.36,13.8,0.0,Chattogram
19811220,23.8,11.46,0.0,Chattogram
19811221,23.49,13.16,0.0,Chattogram
19811222,24.87,13.42,0.0,Chattogram
19811223,24.2,14.16,0.0,Chattogram
19811224,23.51,14.82,0.0,Chattogram
19811225,24.36,14.25,0.0,Chattogram
19811226,24.23,13.04,0.0,Chattogram
19811227,24.39,13.46,0.0,Chattogram
19811228,24.35,13.57,0.0,Chattogram
19811229,24.47,13.64,0.0,Chattogram
19811230,24.1,12.13,0.0,Chattogram
19811231,24.19,11.88,0.0,Chattogram
19820101,23.35,12.85,0.0,Chattogram
19820102,23.81,12.31,0.0,Chattogram
19820103,23.93,11.21,0.0,Chattogram
19820104,24.25,13.17,0.06,Chattogram
19820105,24.95,14.12,0.02,Chattogram
19820106,24.57,14.95,0.01,Chattogram
19820107,25.93,16.49,0.0,Chattogram
19820108,26.22,14.15,0.0,Chattogram
19820109,25.89,14.27,0.0,Chattogram
19820110,25.95,14.3,0.0,Chattogram
19820111,26.36,15.04,0.52,Chattogram
19820112,27.11,16.62,0.2,Chattogram
19820113,25.75,14.89,0.0,Chattogram
19820114,26.14,12.92,0.0,Chattogram
19820115,25.73,13.37,0.0,Chattogram
19820116,26.34,13.05,0.0,Chattogram
19820117,25.1,13.62,0.0,Chattogram
19820118,25.58,12.97,0.0,Chattogram
19820119,25.64,13.86,0.0,Chattogram
19820120,25.21,13.37,0.0,Chattogram
19820121,25.59,12.96,0.0,Chattogram
19820122,25.77,13.51,0.0,Chattogram
19820123,28.06,13.31,0.0,Chattogram
19820124,28.81,14.45,0.0,Chattogram
19820125,29.38,14.99,0.0,Chattogram
19820126,30.57,15.67,0.0,Chattogram
19820127,28.97,16.31,0.0,Chattogram
19820128,28.73,15.7,0.0,Chattogram
19820129,28.19,15.67,0.0,Chattogram
19820130,27.95,15.56,0.0,Chattogram
19820131,28.32,15.51,0.0,Chattogram
19820201,27.94,16.95,0.0,Chattogram
19820202,24.86,16.61,0.03,Chattogram
19820203,26.28,14.58,0.0,Chattogram
19820204,26.28,13.46,0.0,Chattogram
19820205,25.14,17.06,0.15,Chattogram
19820206,26.51,16.1,0.03,Chattogram
19820207,26.51,13.25,0.03,Chattogram
19820208,25.73,14.9,0.0,Chattogram
19820209,25.89,16.66,0.0,Chattogram
19820210,26.82,14.28,0.0,Chattogram
19820211,26.46,16.8,0.0,Chattogram
19820212,27.37,14.91,0.0,Chattogram
19820213,27.75,15.89,0.11,Chattogram
19820214,27.43,18.28,0.38,Chattogram
19820215,28.26,18.08,1.59,Chattogram
19820216,27.29,18.51,0.0,Chattogram
19820217,28.68,18.85,0.05,Chattogram
19820218,28.02,19.58,0.7,Chattogram
19820219,29.25,20.16,2.28,Chattogram
19820220,28.95,19.15,0.91,Chattogram
19820221,30.62,18.78,0.0,Chattogram
19820222,30.77,18.3,0.0,Chattogram
19820223,30.99,19.83,0.0,Chattogram
19820224,30.08,18.65,0.0,Chattogram
19820225,30.66,16.97,0.0,Chattogram
19820226,29.58,17.44,0.0,Chattogram
19820227,31.25,16.52,0.0,Chattogram
19820228,31.73,17.88,0.0,Chattogram
19820301,32.0,19.33,1.82,Chattogram
19820302,32.13,18.96,0.01,Chattogram
19820303,30.65,18.59,0.02,Chattogram
19820304,29.79,17.67,0.0,Chattogram
19820305,28.9,17.31,0.0,Chattogram
19820306,30.25,17.24,7.03,Chattogram
19820307,29.73,19.65,1.71,Chattogram
19820308,30.48,18.32,20.42,Chattogram
19820309,29.93,16.3,0.01,Chattogram
19820310,32.65,17.97,0.0,Chattogram
19820311,32.46,19.27,0.04,Chattogram
19820312,32.68,21.51,1.0,Chattogram
19820313,32.62,22.45,0.1,Chattogram
19820314,30.9,18.2,0.01,Chattogram
19820315,31.01,17.53,0.0,Chattogram
19820316,32.03,18.93,0.0,Chattogram
19820317,33.03,19.37,0.0,Chattogram
19820318,31.6,20.09,2.55,Chattogram
19820319,31.5,21.02,3.37,Chattogram
19820320,32.93,22.24,1.09,Chattogram
19820321,34.41,21.53,0.0,Chattogram
19820322,34.51,20.9,0.0,Chattogram
19820323,34.25,20.86,0.0,Chattogram
19820324,35.06,21.94,0.0,Chattogram
19820325,36.12,23.16,0.41,Chattogram
19820326,35.16,23.43,0.01,Chattogram
19820327,32.51,21.22,1.09,Chattogram
19820328,33.74,21.03,0.08,Chattogram
19820329,34.26,23.09,0.0,Chattogram
19820330,34.29,22.93,0.0,Chattogram
19820331,32.69,23.95,0.26,Chattogram
19820401,31.51,25.07,4.65,Chattogram
19820402,31.16,25.31,5.71,Chattogram
19820403,31.29,25.26,30.12,Chattogram
19820404,31.02,24.39,28.53,Chattogram
19820405,31.46,24.35,2.69,Chattogram
19820406,32.1,24.62,0.06,Chattogram
19820407,32.35,25.11,0.34,Chattogram
19820408,32.42,25.46,0.57,Chattogram
19820409,34.05,24.83,0.14,Chattogram
19820410,33.01,24.13,0.0,Chattogram
19820411,32.43,23.22,0.12,Chattogram
19820412,32.61,23.26,1.45,Chattogram
19820413,31.58,22.87,9.47,Chattogram
19820414,32.67,22.77,2.39,Chattogram
19820415,31.39,22.53,1.61,Chattogram
19820416,30.99,23.21,12.27,Chattogram
19820417,28.91,23.3,11.25,Chattogram
19820418,28.29,22.43,1.32,Chattogram
19820419,31.23,21.32,0.64,Chattogram
19820420,30.68,23.21,3.79,Chattogram
19820421,31.09,22.96,0.72,Chattogram
19820422,33.1,23.06,0.04,Chattogram
19820423,32.99,23.02,0.27,Chattogram
19820424,33.85,23.94,2.64,Chattogram
19820425,32.52,23.75,4.48,Chattogram
19820426,33.08,23.43,2.38,Chattogram
19820427,31.85,23.78,58.2,Chattogram
19820428,31.7,23.33,6.44,Chattogram
19820429,31.5,23.71,4.06,Chattogram
19820430,31.91,23.4,0.51,Chattogram
19820501,32.27,23.31,0.53,Chattogram
19820502,33.14,23.98,1.32,Chattogram
19820503,31.83,24.18,7.48,Chattogram
19820504,32.27,22.91,2.32,Chattogram
19820505,30.48,23.36,76.11,Chattogram
19820506,33.16,23.37,2.63,Chattogram
19820507,32.63,23.89,0.02,Chattogram
19820508,31.25,24.22,1.87,Chattogram
19820509,31.37,24.45,0.05,Chattogram
19820510,30.37,24.85,0.17,Chattogram
19820511,31.35,25.15,0.83,Chattogram
19820512,29.97,26.2,11.11,Chattogram
19820513,29.99,26.14,7.24,Chattogram
19820514,30.16,25.87,0.29,Chattogram
19820515,31.35,26.25,0.01,Chattogram
19820516,29.87,26.26,2.82,Chattogram
19820517,29.29,25.92,6.08,Chattogram
19820518,32.38,25.38,2.32,Chattogram
19820519,33.58,23.65,0.0,Chattogram
19820520,34.09,23.47,0.0,Chattogram
19820521,35.0,25.88,0.0,Chattogram
19820522,34.0,25.67,0.06,Chattogram
19820523,31.85,25.76,0.0,Chattogram
19820524,33.56,25.95,0.04,Chattogram
19820525,32.66,26.73,0.0,Chattogram
19820526,33.97,27.16,0.05,Chattogram
19820527,30.76,26.68,0.17,Chattogram
19820528,31.21,26.56,0.42,Chattogram
19820529,30.57,26.16,0.1,Chattogram
19820530,31.34,26.96,1.97,Chattogram
19820531,33.56,26.85,0.45,Chattogram
19820601,31.92,26.44,27.69,Chattogram
19820602,35.62,26.67,0.06,Chattogram
19820603,33.13,26.92,11.89,Chattogram
19820604,31.94,26.23,20.37,Chattogram
19820605,32.81,26.8,1.57,Chattogram
19820606,33.6,27.23,0.39,Chattogram
19820607,33.27,27.57,0.02,Chattogram
19820608,31.83,26.94,0.1,Chattogram
19820609,29.85,26.83,5.66,Chattogram
19820610,29.42,26.56,10.17,Chattogram
19820611,30.34,26.38,12.94,Chattogram
19820612,30.02,26.01,19.83,Chattogram
19820613,28.71,26.0,10.59,Chattogram
19820614,31.26,25.42,21.27,Chattogram
19820615,29.02,25.3,58.49,Chattogram
19820616,29.83,25.74,1.71,Chattogram
19820617,30.21,26.83,6.32,Chattogram
19820618,29.83,26.03,22.66,Chattogram
19820619,30.11,27.53,35.86,Chattogram
19820620,30.29,26.02,85.83,Chattogram
19820621,30.51,25.57,29.62,Chattogram
19820622,30.14,26.08,1.17,Chattogram
19820623,29.93,26.0,1.88,Chattogram
19820624,28.65,26.38,2.28,Chattogram
19820625,28.51,26.31,6.89,Chattogram
19820626,30.06,26.04,5.29,Chattogram
19820627,29.76,26.2,4.37,Chattogram
19820628,30.38,25.93,2.12,Chattogram
19820629,29.91,24.99,4.47,Chattogram
19820630,31.29,24.89,0.61,Chattogram
19820701,30.16,25.67,4.27,Chattogram
19820702,30.41,26.05,4.67,Chattogram
19820703,30.8,26.07,21.33,Chattogram
19820704,31.72,25.36,23.54,Chattogram
19820705,31.39,25.9,0.1,Chattogram
19820706,30.86,25.66,0.16,Chattogram
19820707,31.09,25.39,0.24,Chattogram
19820708,31.52,26.03,0.16,Chattogram
19820709,30.64,26.32,0.06,Chattogram
19820710,30.19,26.01,1.35,Chattogram
19820711,30.24,26.01,6.06,Chattogram
19820712,30.31,25.94,3.72,Chattogram
19820713,30.03,25.99,4.01,Chattogram
19820714,31.2,25.96,4.21,Chattogram
19820715,30.84,26.01,3.79,Chattogram
19820716,32.35,26.15,3.85,Chattogram
19820717,33.08,26.24,4.93,Chattogram
19820718,32.03,26.48,0.49,Chattogram
19820719,30.71,26.47,0.58,Chattogram
19820720,31.81,25.94,1.42,Chattogram
19820721,30.72,25.95,1.76,Chattogram
19820722,29.24,26.4,3.3,Chattogram
19820723,30.71,25.99,3.93,Chattogram
19820724,30.34,26.04,4.66,Chattogram
19820725,31.62,25.65,14.43,Chattogram
19820726,30.46,26.71,38.65,Chattogram
19820727,30.87,26.62,29.47,Chattogram
19820728,30.89,26.35,4.26,Chattogram
19820729,29.45,26.49,10.83,Chattogram
19820730,29.17,26.4,9.8,Chattogram
19820731,28.77,26.02,13.34,Chattogram
19820801,29.18,25.64,11.26,Chattogram
19820802,30.38,26.42,76.58,Chattogram
19820803,30.21,26.29,43.46,Chattogram
19820804,30.08,26.13,12.42,Chattogram
19820805,30.28,26.36,9.59,Chattogram
19820806,29.04,26.69,0.27,Chattogram
19820807,29.55,26.3,16.86,Chattogram
19820808,28.35,26.56,30.11,Chattogram
19820809,28.56,26.07,19.8,Chattogram
19820810,30.13,25.51,16.63,Chattogram
19820811,31.84,25.68,0.25,Chattogram
19820812,31.45,25.57,1.1,Chattogram
19820813,30.21,25.8,2.66,Chattogram
19820814,29.65,26.1,23.68,Chattogram
19820815,30.54,25.63,1.54,Chattogram
19820816,31.27,25.67,2.81,Chattogram
19820817,31.18,25.69,3.21,Chattogram
19820818,30.92,25.19,0.11,Chattogram
19820819,30.0,26.65,0.61,Chattogram
19820820,30.38,25.9,1.12,Chattogram
19820821,31.1,26.02,0.17,Chattogram
19820822,29.09,25.97,1.31,Chattogram
19820823,28.18,26.46,3.48,Chattogram
19820824,30.34,26.13,47.4,Chattogram
19820825,29.89,26.05,42.68,Chattogram
19820826,30.68,25.38,18.45,Chattogram
19820827,31.13,25.67,0.05,Chattogram
19820828,29.83,25.53,0.27,Chattogram
19820829,29.84,25.06,2.45,Chattogram
19820830,29.73,25.18,10.74,Chattogram
19820831,30.1,25.79,29.92,Chattogram
19820901,30.52,25.09,0.21,Chattogram
19820902,30.99,25.71,0.02,Chattogram
19820903,30.24,25.83,1.11,Chattogram
19820904,32.2,25.66,1.68,Chattogram
19820905,30.84,25.95,29.35,Chattogram
19820906,31.62,26.13,41.22,Chattogram
19820907,31.01,26.33,0.17,Chattogram
19820908,33.21,27.04,0.09,Chattogram
19820909,28.43,25.16,0.02,Chattogram
19820910,30.3,24.06,0.16,Chattogram
19820911,29.82,24.99,0.48,Chattogram
19820912,30.32,25.31,1.56,Chattogram
19820913,30.11,25.76,1.4,Chattogram
19820914,30.18,25.77,2.11,Chattogram
19820915,30.03,26.09,31.87,Chattogram
19820916,30.14,25.75,21.65,Chattogram
19820917,31.04,25.8,17.7,Chattogram
19820918,30.73,25.28,0.17,Chattogram
19820919,30.35,25.28,0.0,Chattogram
19820920,30.36,25.29,0.05,Chattogram
19820921,30.47,25.24,0.09,Chattogram
19820922,30.37,25.47,0.1,Chattogram
19820923,31.46,25.83,0.04,Chattogram
